GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.easy4j:faceplusplus-java-sdk,com.faceplusplus.spring.boot,FaceppFacesetOperations,0,459,0,6,0,108,0,16,0,13
io.github.easy4j:faceplusplus-java-sdk,com.faceplusplus.spring.boot,FaceppTemplate,0,37,0,0,0,11,0,6,0,6
io.github.easy4j:faceplusplus-java-sdk,com.faceplusplus.spring.boot,FaceppFaceOperations,0,597,0,0,0,137,0,16,0,16
io.github.easy4j:faceplusplus-java-sdk,com.faceplusplus.spring.boot,FaceppFacesetAsyncOperations,0,164,0,0,0,46,0,6,0,6
io.github.easy4j:faceplusplus-java-sdk,com.faceplusplus.spring.boot,RequestMethod,0,51,0,0,0,9,0,1,0,1
io.github.easy4j:faceplusplus-java-sdk,com.faceplusplus.spring.boot,FaceppOkHttp3Template.new Callback() {...},24,59,2,4,1,10,2,4,0,3
io.github.easy4j:faceplusplus-java-sdk,com.faceplusplus.spring.boot,FaceppApiAddress,0,364,0,0,0,47,0,6,0,6
io.github.easy4j:faceplusplus-java-sdk,com.faceplusplus.spring.boot,FaceppOperations,0,23,0,0,0,7,0,5,0,5
io.github.easy4j:faceplusplus-java-sdk,com.faceplusplus.spring.boot,FaceppFaceAsyncOperations,0,4,0,0,0,2,0,1,0,1
io.github.easy4j:faceplusplus-java-sdk,com.faceplusplus.spring.boot,FaceppOkHttp3Template,156,606,8,26,31,124,9,42,2,32
io.github.easy4j:faceplusplus-java-sdk,com.faceplusplus.spring.boot,FaceppOkHttp3Template.HttpMethod,2,159,1,5,1,27,1,16,0,14
io.github.easy4j:faceplusplus-java-sdk,com.faceplusplus.spring.boot.resp,FaceppResponse,0,8,0,2,0,1,0,2,0,1
io.github.easy4j:faceplusplus-java-sdk,com.faceplusplus.spring.boot.req,SkinAnalyzeType,0,44,0,0,0,11,0,6,0,6
